"rgn_id","habitat","extent_rank","layer"
5,"mangrove",1327.3411728,"element_wts_cp_km2_x_protection"
6,"mangrove",45.40904012,"element_wts_cp_km2_x_protection"
7,"mangrove",2099.2948548,"element_wts_cp_km2_x_protection"
8,"mangrove",230.53820368,"element_wts_cp_km2_x_protection"
9,"mangrove",363.27232096,"element_wts_cp_km2_x_protection"
11,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
14,"mangrove",13.972012344,"element_wts_cp_km2_x_protection"
15,"mangrove",11268.427956,"element_wts_cp_km2_x_protection"
16,"mangrove",40606.16088,"element_wts_cp_km2_x_protection"
17,"mangrove",18167.109052,"element_wts_cp_km2_x_protection"
18,"mangrove",1977.0397468,"element_wts_cp_km2_x_protection"
24,"mangrove",2466.0601788,"element_wts_cp_km2_x_protection"
26,"mangrove",2305.3820368,"element_wts_cp_km2_x_protection"
28,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
29,"mangrove",31.437027776,"element_wts_cp_km2_x_protection"
31,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
35,"mangrove",24.451021604,"element_wts_cp_km2_x_protection"
37,"mangrove",13.972012344,"element_wts_cp_km2_x_protection"
39,"mangrove",10.47900926,"element_wts_cp_km2_x_protection"
40,"mangrove",730.0376452,"element_wts_cp_km2_x_protection"
41,"mangrove",12312.83588,"element_wts_cp_km2_x_protection"
42,"mangrove",11034.396748,"element_wts_cp_km2_x_protection"
43,"mangrove",2221.5499628,"element_wts_cp_km2_x_protection"
44,"mangrove",139.72012344,"element_wts_cp_km2_x_protection"
45,"mangrove",286.42625308,"element_wts_cp_km2_x_protection"
46,"mangrove",34.930030864,"element_wts_cp_km2_x_protection"
47,"mangrove",48.9020432,"element_wts_cp_km2_x_protection"
48,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
49,"mangrove",48.9020432,"element_wts_cp_km2_x_protection"
50,"mangrove",447.1043952,"element_wts_cp_km2_x_protection"
52,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
53,"mangrove",3590.8071728,"element_wts_cp_km2_x_protection"
54,"mangrove",352.79331172,"element_wts_cp_km2_x_protection"
64,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
65,"mangrove",2521.9482284,"element_wts_cp_km2_x_protection"
66,"mangrove",5232.518624,"element_wts_cp_km2_x_protection"
96,"mangrove",6322.335588,"element_wts_cp_km2_x_protection"
97,"mangrove",757.9816696,"element_wts_cp_km2_x_protection"
99,"mangrove",83.83207408,"element_wts_cp_km2_x_protection"
100,"mangrove",80.339071,"element_wts_cp_km2_x_protection"
102,"mangrove",111.77609876,"element_wts_cp_km2_x_protection"
103,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
104,"mangrove",1033.9289136,"element_wts_cp_km2_x_protection"
106,"mangrove",642.712568,"element_wts_cp_km2_x_protection"
110,"mangrove",6039.402336,"element_wts_cp_km2_x_protection"
111,"mangrove",509.9784508,"element_wts_cp_km2_x_protection"
112,"mangrove",14817.319092,"element_wts_cp_km2_x_protection"
113,"mangrove",178.1431574,"element_wts_cp_km2_x_protection"
114,"mangrove",593.8105248,"element_wts_cp_km2_x_protection"
115,"mangrove",764.967676,"element_wts_cp_km2_x_protection"
116,"mangrove",366.76532408,"element_wts_cp_km2_x_protection"
117,"mangrove",6.986006172,"element_wts_cp_km2_x_protection"
120,"mangrove",34.930030864,"element_wts_cp_km2_x_protection"
122,"mangrove",6.986006172,"element_wts_cp_km2_x_protection"
125,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
126,"mangrove",345.80730556,"element_wts_cp_km2_x_protection"
129,"mangrove",6325.828588,"element_wts_cp_km2_x_protection"
130,"mangrove",1526.4423488,"element_wts_cp_km2_x_protection"
131,"mangrove",3133.2237684,"element_wts_cp_km2_x_protection"
132,"mangrove",11205.5539,"element_wts_cp_km2_x_protection"
133,"mangrove",2560.3712624,"element_wts_cp_km2_x_protection"
134,"mangrove",1508.9773332,"element_wts_cp_km2_x_protection"
135,"mangrove",39970.434316,"element_wts_cp_km2_x_protection"
136,"mangrove",1033.9289136,"element_wts_cp_km2_x_protection"
137,"mangrove",5980.021284,"element_wts_cp_km2_x_protection"
138,"mangrove",174.65015432,"element_wts_cp_km2_x_protection"
139,"mangrove",11261.441952,"element_wts_cp_km2_x_protection"
140,"mangrove",227.0452006,"element_wts_cp_km2_x_protection"
147,"mangrove",13.972012344,"element_wts_cp_km2_x_protection"
151,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
152,"mangrove",3.493003088,"element_wts_cp_km2_x_protection"
155,"mangrove",52.39504628,"element_wts_cp_km2_x_protection"
162,"mangrove",1285.4251356,"element_wts_cp_km2_x_protection"
163,"mangrove",9504.461396,"element_wts_cp_km2_x_protection"
164,"mangrove",2078.3368364,"element_wts_cp_km2_x_protection"
