"rgn_id","habitat","extent_rank","layer"
5,"mangrove",78032.20442174,"element_wts_cs_km2_x_storage"
6,"mangrove",2621.236840927,"element_wts_cs_km2_x_storage"
7,"mangrove",119971.99388119,"element_wts_cs_km2_x_storage"
8,"mangrove",13307.817807428,"element_wts_cs_km2_x_storage"
9,"mangrove",20969.894727416,"element_wts_cs_km2_x_storage"
11,"mangrove",201.6336032548,"element_wts_cs_km2_x_storage"
14,"mangrove",604.9008095335,"element_wts_cs_km2_x_storage"
15,"mangrove",658132.0806062,"element_wts_cs_km2_x_storage"
16,"mangrove",2319794.605017,"element_wts_cs_km2_x_storage"
17,"mangrove",1039824.4914761,"element_wts_cs_km2_x_storage"
18,"mangrove",115737.68821561,"element_wts_cs_km2_x_storage"
24,"mangrove",140538.62140302,"element_wts_cs_km2_x_storage"
26,"mangrove",136304.31573744,"element_wts_cs_km2_x_storage"
28,"mangrove",201.6336032548,"element_wts_cs_km2_x_storage"
29,"mangrove",1814.7024283696,"element_wts_cs_km2_x_storage"
31,"mangrove",201.6336032548,"element_wts_cs_km2_x_storage"
35,"mangrove",1411.4352220909,"element_wts_cs_km2_x_storage"
37,"mangrove",1008.1680158122,"element_wts_cs_km2_x_storage"
39,"mangrove",604.9008095335,"element_wts_cs_km2_x_storage"
40,"mangrove",41133.25504366,"element_wts_cs_km2_x_storage"
41,"mangrove",701080.0382297,"element_wts_cs_km2_x_storage"
42,"mangrove",639581.7891123,"element_wts_cs_km2_x_storage"
43,"mangrove",126222.6355747,"element_wts_cs_km2_x_storage"
44,"mangrove",8065.344125574,"element_wts_cs_km2_x_storage"
45,"mangrove",15929.054648355,"element_wts_cs_km2_x_storage"
46,"mangrove",2217.9696346483,"element_wts_cs_km2_x_storage"
47,"mangrove",3226.137651615,"element_wts_cs_km2_x_storage"
48,"mangrove",201.6336032548,"element_wts_cs_km2_x_storage"
49,"mangrove",2621.236840927,"element_wts_cs_km2_x_storage"
50,"mangrove",16332.32185625,"element_wts_cs_km2_x_storage"
52,"mangrove",201.6336032548,"element_wts_cs_km2_x_storage"
53,"mangrove",205867.90882802,"element_wts_cs_km2_x_storage"
54,"mangrove",17542.123475317,"element_wts_cs_km2_x_storage"
64,"mangrove",201.6336032548,"element_wts_cs_km2_x_storage"
65,"mangrove",142554.95743095,"element_wts_cs_km2_x_storage"
