rgn_id,score
1,-0.016363745
2,-0.014905792
3,-0.002011595
4,0.01042822
5,-0.015420305
6,-0.016515075
7,-0.016077844
8,-0.016433343
9,-0.016573135
10,-0.019030231
11,-0.015906558
12,-0.020361356
13,-0.015693338
14,-0.015330917
15,-0.01524731
16,-0.010426655
17,-0.01370144
18,-0.015643058
19,-0.022655096
20,-0.027604675
21,-0.018766441
24,-0.018199878
25,-0.006811003
26,-0.018009299
28,-0.011991641
29,-0.011379612
30,-0.011990566
31,-0.015580986
32,-0.015867645
33,-0.010593897
34,-0.010941526
35,-0.009946215
36,-0.016647984
37,-0.016448219
38,-0.013582218
39,-0.015343673
40,-0.018053051
41,-0.012245318
42,-0.011640578
43,-0.014660039
44,-0.016322405
45,-0.017870205
46,-0.012135756
47,-0.018598159
48,-0.020514117
49,-0.022187153
50,-0.021121751
51,-0.021378116
52,-0.024318432
53,-0.025710611
54,-0.024664096
55,-0.026268306
56,-0.016070109
57,-0.027372096
58,-0.026226907
59,-0.012420921
60,-0.036631823
61,-0.038130959
62,-0.028770727
63,-0.022931727
64,-0.020330157
65,-0.018275972
66,-0.019624405
67,-0.058933471
68,-0.051614024
69,-0.019159346
70,-0.017063975
71,-0.015791777
72,-0.011904128
73,0.001284037
74,-0.020978463
75,-0.019080727
76,-0.032808959
77,-0.050549675
78,-0.059931004
79,-0.052237653
80,-0.051230559
81,-0.067357515
82,-0.038577642
84,-0.050832563
85,-0.007293605
86,-0.007080264
88,0.00430701
89,0.01069812
90,0.002876971
91,0.005502075
92,0.001763532
93,0.011400126
94,0.011386279
95,0.006091539
96,-0.024169897
97,-0.023768662
98,-0.025368048
99,-0.025394421
100,-0.018379501
101,-0.009267873
102,-0.00831117
103,-0.011925258
104,-0.012334851
105,0.011470655
106,-0.024361031
107,-0.027605182
108,-0.020992467
110,-0.020965337
111,-0.0217826
112,-0.021149788
113,-0.02433116
114,-0.021555495
115,-0.022444015
116,-0.020719949
117,-0.018555495
118,-0.021590577
119,-0.016600186
120,-0.021566079
121,-0.019925862
122,-0.019628084
123,-0.021607892
124,-0.018938385
125,-0.019624586
126,-0.018201769
127,-0.021509014
129,-0.021701923
130,-0.019808539
131,-0.019637136
132,-0.020967079
133,-0.020010642
134,-0.018879686
135,-0.021156765
136,-0.020407085
137,-0.022253222
138,-0.017914404
139,-0.018350117
140,-0.02075395
141,-0.016448337
143,-0.016577304
144,-0.011870161
145,-0.004707884
146,-0.00987521
147,-0.017557261
148,-0.025151057
149,-0.025559483
150,-0.022453702
151,-0.021507025
152,-0.017361027
153,-0.020602792
154,-0.019049106
155,-0.017239086
156,-0.024783118
157,-0.024689429
158,-0.021486298
159,-0.019768938
161,-0.020068131
162,0.004718324
163,-0.010685615
164,-0.018557883
166,-0.020788514
167,-0.023005473
168,-0.024291608
169,-0.022930151
171,-0.016262341
172,-0.006862359
173,-0.013999021
174,-0.018411181
175,-0.015550556
176,-0.01569231
177,-0.015890048
178,-0.017867692
179,-0.032016037
180,-0.022507173
181,-0.026553106
182,-0.038292654
183,-0.033534675
184,-0.048835997
185,-0.068883567
186,-0.04084773
187,-0.037070565
188,-0.026974451
189,-0.01983205
190,-0.02567871
191,-0.019665684
192,-0.018270767
193,-0.024199935
194,-0.027195826
195,-0.02340519
196,-0.018905847
197,-0.019950836
198,-0.016222951
199,-0.021582498
200,-0.013598417
202,-0.014443138
203,-0.024365502
204,-0.03197734
205,-0.018376016
206,-0.017330185
207,-0.015902247
208,-0.020715443
209,-0.023573724
210,-0.016363452
212,-0.017433496
214,-0.038069125
215,-0.01432238
216,-0.016466218
218,-0.002745665
219,-0.008517398
220,-0.014736848
221,-0.012044815
222,-0.019671932
223,-0.01065798
224,0.004661216
227,-0.025034039
228,-0.025930483
231,-0.014045834
232,-0.038959147
237,-0.013088066
244,-0.023616325
245,-0.024444184
247,-0.016771806
248,-1.83E-05
249,0.000718921
250,-0.021725662
