rgn_id,year,w_fis
1,2005,1
1,2006,1
1,2007,1
1,2008,1
1,2009,1
1,2010,1
1,2011,1
1,2012,1
1,2013,1
1,2014,1
1,2015,1
1,2016,1
1,2017,1
1,2018,1
1,2019,1
2,2005,1
2,2006,1
2,2007,1
2,2008,1
2,2009,1
2,2010,1
2,2011,1
2,2012,1
2,2013,1
2,2014,1
2,2015,1
2,2016,1
2,2017,1
2,2018,1
2,2019,1
3,2005,1
3,2006,1
3,2007,1
3,2008,1
3,2009,1
3,2010,1
3,2011,1
3,2012,1
3,2013,1
3,2014,1
3,2015,1
3,2016,1
3,2017,1
3,2018,1
3,2019,1
4,2005,1
4,2006,1
4,2007,1
4,2008,1
4,2009,1
4,2010,1
4,2011,1
4,2012,1
4,2013,1
4,2014,1
4,2015,1
4,2016,1
4,2017,1
4,2018,1
4,2019,1
5,2005,0.805674884
5,2006,0.843845301
5,2007,0.842590355
5,2008,0.853832219
5,2009,0.889926441
5,2010,0.880103382
5,2011,0.873057262
5,2012,0.877872899
5,2013,0.873806892
5,2014,0.901665871
5,2015,0.873324201
5,2016,0.883844326
5,2017,0.881438389
5,2018,0.886730115
5,2019,0.869365982
6,2005,0.998841264
6,2006,0.999190436
6,2007,0.999096762
6,2008,1
6,2009,0.999106059
6,2010,0.999529135
6,2011,0.999240474
6,2012,0.999444528
6,2013,0.999336872
6,2014,0.999526687
6,2015,0.999349632
6,2016,0.999287774
6,2017,0.99964795
6,2018,0.999384209
6,2019,0.999927925
7,2005,0.999918957
7,2006,0.999945687
7,2007,0.999926091
7,2008,0.999810742
7,2009,0.99962299
7,2010,0.999696912
7,2011,0.999705022
7,2012,0.999063357
7,2013,0.999238624
7,2014,0.998980663
7,2015,0.999319333
7,2016,0.999735841
7,2017,0.999748111
7,2018,0.999613303
7,2019,0.997831058
8,2005,0.999360407
8,2006,0.998212499
8,2007,0.998387404
8,2008,0.997729772
8,2009,0.997520698
8,2010,0.994299058
8,2011,0.989305135
8,2012,0.996372156
8,2013,0.997035759
8,2014,0.99528813
8,2015,0.991566972
8,2016,0.995581686
8,2017,0.99870439
8,2018,0.998324645
